question_id,question_article_live,question_article__has_video_solution,question_title,question_hide,total_acs,total_submitted,is_new_question,difficulty,is_favor,frequency,progress
1,Two Sum,False,4419349,9378002,False,1,False,4.188633926801897,100.0
2,Add Two Numbers,False,1997317,5517084,False,2,False,3.9776096189148276,94.96197778142455
3,Longest Substring Without Repeating Characters,False,2270129,7136348,False,2,False,3.9144958313721516,93.45519087558327
4,Median of Two Sorted Arrays,False,978330,3060771,False,3,False,3.8829389376008137,92.70179742266264
5,Longest Palindromic Substring,False,1344014,4350196,False,2,False,3.6705201194121764,87.63048248082853
6,ZigZag Conversion,False,587615,1514632,False,2,False,2.1455917820117802,51.224141796749976
7,Reverse Integer,False,1579833,6064710,False,1,False,3.6971301705927613,88.26577435988997
8,String to Integer (atoi),False,758284,4783891,False,2,False,2.364666540958554,56.45436154799096
9,Palindrome Number,False,1314322,2599763,False,1,False,2.603116079076469,62.14713733801985
10,Regular Expression Matching,False,552643,1999035,False,3,False,2.8190189603498674,67.30163126244463
11,Container With Most Water,False,981491,1850227,False,2,False,3.2658600913027254,77.96957548391613
12,Integer to Roman,False,504641,876996,False,2,False,2.889468361681481,68.98354958146572
13,Roman to Integer,False,1020235,1780622,False,1,False,3.024121101585483,72.19826689162254
14,Longest Common Prefix,False,1066875,2901479,False,1,False,3.255808552192717,77.7296037106444
15,3Sum,False,1344417,4681936,False,2,False,3.7905685464030077,90.4965344941753
16,3Sum Closest,False,600464,1293163,False,2,False,3.006557277710171,71.77894583892977
17,Letter Combinations of a Phone Number,False,868287,1717501,False,2,False,3.2506334989947816,77.60605380658565
18,4Sum,False,427438,1199917,False,2,False,2.628276538195035,62.74782146459322
19,Remove Nth Node From End of List,False,908363,2496618,False,2,False,1.6269042672960599,38.84092751304798
20,Valid Parentheses,False,1477700,3676026,False,1,False,3.8221254401743456,91.24992794709593
21,Merge Two Sorted Lists,False,1474646,2587846,False,1,False,2.8975871828349167,69.17737939078579
22,Generate Parentheses,False,777144,1163567,False,2,False,2.670023639759158,63.744497285246716
23,Merge k Sorted Lists,False,910245,2083256,False,3,False,3.580951566104898,85.49211100047178
24,Swap Nodes in Pairs,False,627874,1157279,False,2,False,1.1105844562212808,26.514240099020387
25,Reverse Nodes in k-Group,False,363252,785418,False,3,False,2.787105419555484,66.53972317135609
26,Remove Duplicates from Sorted Array,False,1489160,3155654,False,1,False,1.765423279966669,42.147948730258314
27,Remove Element,False,887301,1780626,False,1,False,0.7943670583648088,18.964824146647818
28,Implement strStr(),False,908611,2551311,False,1,False,1.125643161818373,26.873753626825618
29,Divide Two Integers,False,378303,2229675,False,2,False,2.1188762508198877,50.586331673956785
30,Substring with Concatenation of All Words,False,211082,790640,False,3,False,1.6059506953498774,38.340679166872235
31,Next Permutation,False,534681,1564703,False,2,False,3.52175097282723,84.07874821173868
32,Longest Valid Parentheses,False,385926,1280320,False,3,False,2.3508897481484734,56.12545257549931
33,Search in Rotated Sorted Array,False,1027929,2821618,False,2,False,3.410841855111343,81.43088927600763
34,Find First and Last Position of Element in Sorted Array,False,743929,1952018,False,2,False,2.607699206985361,62.25655553949041
35,Search Insert Position,False,849596,1983384,False,1,False,1.0284700196075132,24.553829185850336
36,Valid Sudoku,False,493123,959461,False,2,False,2.184425241892861,52.151256950752725
37,Sudoku Solver,False,247184,512448,False,3,False,2.8158226938298885,67.22532317308101
38,Count and Say,False,516040,1104686,False,2,False,2.6970308058525996,64.38926993822626
39,Combination Sum,False,757691,1250185,False,2,False,2.458539773947258,58.6955035200319
40,Combination Sum II,False,420869,826671,False,2,False,0.7431465347195164,17.74197859508155
41,First Missing Positive,False,501551,1456499,False,3,False,3.367935218653224,80.40653056603368
42,Trapping Rain Water,False,775234,1482686,False,3,False,4.040723406457504,96.46876468726582
43,Multiply Strings,False,380189,1072252,False,2,False,2.264053290249596,54.0523075020367
44,Wildcard Matching,False,311759,1211122,False,3,False,2.643137589278673,63.102616162419324
45,Jump Game II,False,376011,1137062,False,2,False,2.423169041312095,57.851057973983224
46,Permutations,False,841770,1238252,False,2,False,2.4832227308125088,59.28478769469591
47,Permutations II,False,468605,927439,False,2,False,0.6741063877055159,16.093704999906954
48,Rotate Image,False,611519,986525,False,2,False,3.165779312710886,75.58023374766532
49,Group Anagrams,False,952384,1574492,False,2,False,3.507809929112924,83.74591789144975
50,"Pow(x, n)",False,654595,2091754,False,2,False,2.7844623956051904,66.47662326822581
51,N-Queens,False,276703,528780,False,3,False,1.4522740458193875,34.671782523812645
52,N-Queens II,False,178132,284057,False,3,False,0.057699643991947366,1.3775289270982476
53,Maximum Subarray,False,1476621,3067676,False,1,False,3.562920139499235,85.06162633838936
54,Spiral Matrix,False,516290,1384130,False,2,False,3.3517504719858895,80.02013378488331
55,Jump Game,False,655672,1842076,False,2,False,2.028714752392924,48.43380414344031
56,Merge Intervals,False,935231,2227117,False,2,False,4.072280300228842,97.22215814018645
57,Insert Interval,False,367363,1026319,False,2,False,1.9055911823863214,45.494335759278854
58,Length of Last Word,False,520059,1546594,False,1,False,0.3678023205432991,8.780961214820778
59,Spiral Matrix II,False,257280,437056,False,2,False,0.9090385336578435,21.702506104464277
60,Permutation Sequence,False,230280,575525,False,3,False,0.7627205116816745,18.20929030826111
61,Rotate List,False,391274,1211341,False,2,False,1.0575826171346363,25.248867187162404
62,Unique Paths,False,663767,1166081,False,2,False,1.9218036165669716,45.8813935557817
63,Unique Paths II,False,395843,1098313,False,2,False,1.7187916551911684,41.0346591568459
64,Minimum Path Sum,False,554318,972253,False,2,False,1.7417847597506209,41.58359957420551
65,Valid Number,False,219985,1315611,False,3,False,2.130225781531137,50.85729187027823
66,Plus One,False,865516,2053733,False,1,False,1.6603796810391738,39.64012396535464
67,Add Binary,False,621074,1297946,False,1,False,2.822109939296002,67.37542570235394
68,Text Justification,False,179848,577796,False,3,False,3.9460527251434896,94.2085843285039
69,Sqrt(x),False,751533,2103390,False,1,False,1.556205800421722,37.15306297033972
70,Climbing Stairs,False,999679,2039773,False,1,False,2.683492871344744,64.06606350041297
71,Simplify Path,False,286032,809455,False,2,False,2.439585437066108,58.24298517604709
72,Edit Distance,False,366171,766162,False,3,False,2.3190869532519924,55.366188446615105
73,Set Matrix Zeroes,False,445305,988407,False,2,False,1.5255259401837578,36.420607931916514
74,Search a 2D Matrix,False,466994,1202478,False,2,False,2.2164408132315505,52.91560093254189
75,Sort Colors,False,702922,1388031,False,2,False,1.7863715251593018,42.64806990481574
76,Minimum Window Substring,False,552183,1507614,False,3,False,2.773312522787923,66.21042973085501
77,Combinations,False,376570,639560,False,2,False,0.7323029958732203,17.48309851542333
78,Subsets,False,792831,1190642,False,2,False,1.902794462277863,45.427566493753815
79,Word Search,False,685344,1816489,False,2,False,3.0753742741485466,73.42189190776703
